year,avg_driving_distance,max_avg_driving_distance,avg_driving_distance_all,max_avg_driving_distance_all,clubhead_speed_avg,max_avg_speed,max_speed_player,max_speed_player_id,driving_distance_leader,driving_distance_leader_id
2022,299.8,321.4,290.5,307.5,114.6,124.89,Cameron Champ,52372,Cameron Champ,52372
2021,296.2,323.7,290.2,314.5,114.42,132.25,Bryson DeChambeau,47959,Bryson DeChambeau,47959
2020,296.4,322.1,288.6,310.4,114.01,127,Cameron Champ,52372,Bryson DeChambeau,47959
2019,293.9,317.9,286.2,304.2,114.09,128.01,Cameron Champ,52372,Cameron Champ,52372
2018,296.1,319.7,287.3,305.9,113.74,124.83,Keith Mitchell,39546,Rory McIlroy,28237
2017,292.5,317.2,285.3,309.9,113.85,128.18,Ryan Brehm,28420,Rory McIlroy,28237
2016,290,314.5,283.7,307.2,112.91,125.5,Andrew Loupe,35300,J.B. Holmes,27141
2015,289.7,317.7,281.8,307.4,113.25,124.07,Tony Finau,29725,Dustin Johnson,30925
2014,288.8,314.3,282.1,305.1,113.02,123.7,Bubba Watson,25804,Bubba Watson,25804
2013,288,306.3,280.5,297.7,113.15,124.45,Charlie Beljan,32334,Luke List,27129
2012,289.1,315.5,282.7,309.2,113.02,124.69,Bubba Watson,25804,Bubba Watson,25804
2011,290.9,318.4,282.2,306,112.83,125.25,J.B. Holmes,27141,J.B. Holmes,27141
2010,287.3,315.5,281.3,300.3,112.63,123.58,Bubba Watson,25804,Robert Garrigus,24358
2009,287.9,312,280.8,301.7,111.69,124.02,Bubba Watson,25804,Robert Garrigus,24358
2008,287.3,315.1,280.7,303.7,112.33,125.16,J.B. Holmes,27141,Bubba Watson,25804
2007,288.6,315.2,281.5,302.1,112.37,124.18,Bubba Watson,25804,Bubba Watson,25804
2006,288.9,319.6,281.3,305.7,NULL,NULL,NULL,NULL,Bubba Watson,25804
2005,288.4,318.9,281.6,303.6,NULL,NULL,NULL,NULL,Scott Hend,23063
2004,286.5,314.4,280,298.4,NULL,NULL,NULL,NULL,Hank Kuehne,23552
2003,285.9,321.4,278.3,303,NULL,NULL,NULL,NULL,Hank Kuehne,23552
2002,279.5,306.8,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
2001,278.8,306.7,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
2000,272.7,301.4,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1999,271.6,305.6,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1998,270.2,299.4,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1997,267.3,302,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1996,265.9,288.8,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1995,262.7,289,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1994,261.2,283.8,NULL,NULL,NULL,NULL,NULL,NULL,Davis Love III,1706
1993,259.8,288.9,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1992,260.2,283.4,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1991,260.7,288.9,NULL,NULL,NULL,NULL,NULL,NULL,John Daly,1249
1990,262.3,279.6,NULL,NULL,NULL,NULL,NULL,NULL,Tom Purtzer,1975
1989,261.1,280.9,NULL,NULL,NULL,NULL,NULL,NULL,Ed Humenik,1550
1988,262.9,284.6,NULL,NULL,NULL,NULL,NULL,NULL,Steve Thomas,2192
1987,262,283.9,NULL,NULL,NULL,NULL,NULL,NULL,John McComish,1777
1986,261.6,285.7,NULL,NULL,NULL,NULL,NULL,NULL,Davis Love III,1706
1985,260.2,278.2,NULL,NULL,NULL,NULL,NULL,NULL,Andy Bean,1068
1984,259.6,276.5,NULL,NULL,NULL,NULL,NULL,NULL,Bill Glasson,1418
1983,258.6,277.4,NULL,NULL,NULL,NULL,NULL,NULL,John McComish,1777
1982,256.7,275.3,NULL,NULL,NULL,NULL,NULL,NULL,Bill Calfee,1164
1981,259.6,280.1,NULL,NULL,NULL,NULL,NULL,NULL,Dan Pohl,1958
1980,256.9,274.3,NULL,NULL,NULL,NULL,NULL,NULL,Dan Pohl,1958