Tourn_Num,Tournament
1,THE CJ CUP
2,Butterfield Bermuda Championship
3,World Wide Technology Championship at Mayakoba
4,Cadence Bank Houston Open
5,The RSM Classic
6,Sentry Tournament of Champions
7,Sony Open in Hawaii
8,The American Express
9,Farmers Insurance Open
10,WM Phoenix Open
11,The Genesis Invitational
12,The Honda Classic
13,Arnold Palmer Invitational presented by Mastercard
14,Puerto Rico Open
15,THE PLAYERS Championship
16,Valspar Championship
17,World Golf Championships-Dell Technologies Match Play
18,Corales Puntacana Championship
19,Valero Texas Open
20,Masters Tournament
21,RBC Heritage
22,Zurich Classic of New Orleans
23,Mexico Open at Vidanta
24,Wells Fargo Championship
25,AT&T Byron Nelson
26,PGA Championship
27,Charles Schwab Challenge
28,The Memorial Tournament presented by Workday
29,RBC Canadian Open
30,U.S. Open
31,Travelers Championship
32,Rocket Mortgage Classic
33,John Deere Classic
34,Barbasol Championship
35,Genesis Scottish Open
36,The Open Championship
37,Barracuda Championship
38,3M Open
39,Wyndham Championship
40,FedEx St. Jude Championship
41,BMW Championship
42,TOUR Championship
43,AT&T Pebble Beach Pro-Am
44,Shriners Children's Open
45,Fortinet Championship
46,Sanderson Farms Championship
47,World Golf Championships-Workday Championship at The Concession
48,World Golf Championships-FedEx St. Jude Invitational
49,World Golf Championships-HSBC Champions
50,ZOZO Championship
51,Workday Charity Open
52,Palmetto Championship at Congaree
53,Dell Technologies Championship
54,CIMB CLASSIC
55,FedEx St. Jude Classic
56,Quicken Loans National
57,A Military Tribute at The Greenbrier
58,Children’s Miracle Network Hospitals Classic
59,Turning Stone Resort Championship
60,U.S. Bank Championship in Milwaukee
61,Buick Open
62,AT&T Classic
63,Ginn sur Mer Classic
64,Chrysler Classic of Tucson
65,Ford Championship at Doral
66,Booz Allen Classic
67,B.C. Open
68,The International
69,84 Lumber Classic
70,Air Canada Championship
71,Michelob Championship at Kingsmill
72,Buick Challenge
73,CVS Charity Classic
74,NEC World Series of Golf
75,Chattanooga Classic
76,Centel Classic
77,Pensacola Open
78,Gatlin Brothers-Southwest Golf Classic
79,Hall of Fame
80,IVB-Golf Classic
81,St. Petersburg Open Invitational
82,500 Festival Open Invitation
83,Alameda County Open
84,Alcan Open
85,Almaden Open Invitational
86,American Golf Classic
87,Hot Springs Open Invitational
88,Azalea Open Invitational
89,Bahamas National Open
90,Bakersfield Open Invitational
91,Baton Rouge Open Invitational
92,Beaumont Open Invitational
93,Cajun Classic Open Invitational
94,Carling World Open
95,Cleveland Open
96,Coral Gables Open Invitational
97,Coral Springs Open Invitational
98,Danny Thomas-Diplomat Classic
99,De Soto Open Invitational
100,Denver Open Invitational
101,Dow Jones Open Invitational
102,East Ridge Classic
103,Eastern Open Invitational
104,El Paso Open
105,Fresno Open Invitational
106,Florida Citrus Open Invitational
107,Frank Sinatra Open Invitational
108,Golden Gate Championship
109,Greater Jacksonville Open
110,Greater Seattle-Everett Classic
111,Gleneagles-Chicago Open Invitational
112,St. Louis Children's Hospital Golf Classic
113,Haig Open Invitational
114,Havana Invitational
115,Hesperia Open Invitational
116,Indian Ridge Hospital Open Invitational
117,Kansas City Open Invitational
118,Kemper‚ÄìAsheville Open Invitational
119,Kentucky Derby Open
120,Kiwanis Peninsula Open Invitational
121,Liggett & Myers Open
122,U.S. Professional Match Play Championship
123,San Francisco Open Invitational
124,Maumelle Open
125,Mayfair Inn Open
126,Michigan Golf Classic
127,Milwaukee Open Invitational
128,Minnesota Golf Classic
129,Mobile Sertoma Open Invitational
130,Motor City Open
131,Mountain View Open
132,National Airlines Open Invitational
133,National Team Championship
134,Ohio Kings Island Open
135,Oklahoma City Open
136,Ontario Open Invitational
137,Orange County Open Invitational
138,Pepsi Championship
139,Portland Open Invitational
140,Rebel Yell Open
141,Shrine-Robinson Open Golf Classic
142,Rubber City Open Invitational
143,Sahara Invitational
144,Sunset-Camellia Open Invitational
145,Sunshine Open Invitational
146,Thunderbird Classic
147,Thunderbird Invitational
148,Tijuana Open Invitational
149,Utah Open
150,Waco Turner Open
151,West End Classic
152,West Palm Beach Open Invitational
153,Yorba Linda Open Invitational
154,Sam Snead Festival
155,Shreveport Classic
156,United Air Lines ‚Äì Ontario Open